ca;intens_pauv
AGEN;0,195333333
AIX EN PROVENCE;0,21225
AMIENS;0,191
ANGERS;0,182666667
BASSE TERRE;
BASTIA;0,215
BESANCON;0,183
BORDEAUX;0,197666667
BOURGES;0,192666667
CAEN;0,184666667
CAYENNE;
CHAMBERY;0,202
COLMAR;0,196
DIJON;0,179
DOUAI;0,185
FORT DE FRANCE;0,235
GRENOBLE;0,190333333
LIMOGES;0,194666667
LYON;0,194333333
METZ;0,2
MONTPELLIER;0,20475
NANCY;0,193
NIMES;0,2
ORLEANS;0,198
PARIS;0,217
PAU;0,188666667
POITIERS;0,1805
REIMS;0,195
RENNES;0,1828
RIOM;0,18825
ROUEN;0,1885
ST DENIS;0,233
TOULOUSE;0,19825
VERSAILLES;0,2075
