ca;med_rev_disp;n_vie_60_74;n_vie_75;;;;;;;;;
AGEN; 19 883 ; 21 390 ; 22 960 ;; 158 640 ; 106 180 ;; 22 019 ;AGEN;;;
AIX EN PROVENCE; 20 845 ; 23 885 ; 25 324 ;; 802 840 ; 565 890 ;; 24 480 ;AIX EN PROVENCE;;groupe A; 23 101 
AMIENS; 20 107 ; 22 223 ; 23 272 ;; 337 040 ; 184 450 ;; 22 594 ;AMIENS;;groupe B; 23 552 
ANGERS; 20 367 ; 21 224 ; 23 892 ;; 302 850 ; 192 100 ;; 22 260 ;ANGERS;;groupe C; 22 385 
BASSE TERRE; -   ; -   ; -   ;;;;;;BASSE TERRE;;groupe D; 23 232 
BASTIA; 20 060 ; 22 105 ; 23 644 ;; 66 990 ; 46 260 ;; 22 734 ;BASTIA;;;
BESANCON; 21 088 ; 22 083 ; 23 892 ;; 213 220 ; 133 150 ;; 22 778 ;BESANCON;;;
BORDEAUX; 20 440 ; 22 741 ; 24 352 ;; 450 950 ; 281 120 ;; 23 360 ;BORDEAUX;;;
BOURGES; 19 890 ; 21 828 ; 23 029 ;; 157 570 ; 105 740 ;; 22 310 ;BOURGES;;;
CAEN; 20 237 ; 24 933 ; 28 210 ;; 296 740 ; 185 220 ;; 26 192 ;CAEN;;;
CAYENNE; -   ; -   ; -   ;;;;;;CAYENNE;;;
CHAMBERY; 24 080 ; 23 628 ; 26 243 ;; 208 790 ; 125 390 ;; 24 609 ;CHAMBERY;;;
COLMAR; 22 290 ; 21 973 ; 23 474 ;; 345 370 ; 188 060 ;; 22 502 ;COLMAR;;;
DIJON; 20 537 ; 20 576 ; 22 423 ;; 246 470 ; 160 060 ;; 21 303 ;DIJON;;;
DOUAI; 19 050 ; 18 016 ; 20 535 ;; 669 790 ; 358 710 ;; 18 895 ;DOUAI;;;
FORT DE FRANCE; 17 580 ; 23 701 ; 25 743 ;;;;;;FORT DE FRANCE;;;
GRENOBLE; 21 017 ; 22 366 ; 24 164 ;; 339 210 ; 208 790 ;; 23 051 ;GRENOBLE;;;
LIMOGES; 19 877 ; 24 397 ; 27 024 ;; 155 410 ; 104 240 ;; 25 452 ;LIMOGES;;;
LYON; 21 757 ; 20 780 ; 23 669 ;; 505 860 ; 331 410 ;; 21 924 ;LYON;;;
METZ; 21 050 ; 22 475 ; 23 791 ;; 196 470 ; 104 200 ;; 22 931 ;METZ;;;
MONTPELLIER; 19 345 ; 21 327 ; 23 334 ;; 460 130 ; 308 720 ;; 22 133 ;MONTPELLIER;;;
NANCY; 20 180 ; 22 197 ; 23 327 ;; 239 950 ; 140 900 ;; 22 615 ;NANCY;;;
NIMES; 19 703 ; 26 078 ; 27 152 ;; 344 930 ; 217 460 ;; 26 493 ;NIMES;;;
ORLEANS; 21 033 ; 23 260 ; 25 209 ;; 294 270 ; 189 590 ;; 24 024 ;ORLEANS;;;
PARIS; 22 235 ; 23 289 ; 24 731 ;; 1 168 100 ; 664 910 ;; 23 812 ;PARIS;;;
PAU; 20 653 ; 21 803 ; 24 235 ;; 279 160 ; 182 640 ;; 22 765 ;PAU;;;
POITIERS; 20 465 ; 21 844 ; 22 976 ;; 461 050 ; 291 750 ;; 22 283 ;POITIERS;;;
REIMS; 19 960 ; 22 216 ; 24 695 ;; 204 830 ; 122 900 ;; 23 146 ;REIMS;;;
RENNES; 21 188 ; 22 680 ; 24 387 ;; 898 500 ; 540 910 ;; 23 321 ;RENNES;;;
RIOM; 20 275 ; 22 391 ; 23 898 ;; 273 960 ; 179 330 ;; 22 987 ;RIOM;;;
ROUEN; 20 840 ; 15 302 ; 17 777 ;; 329 090 ; 191 270 ;; 16 212 ;ROUEN;;;
ST DENIS; 15 020 ; 22 616 ; 25 080 ;;;;;;ST DENIS;;;
TOULOUSE; 20 285 ; 27 392 ; 28 933 ;; 374 520 ; 235 050 ;; 27 986 ;TOULOUSE;;;
VERSAILLES; 24 013 ; 21 846 ; 24 029 ;; 675 200 ; 395 710 ;; 22 653 ;VERSAILLES;;;
